Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2000-01-03,1.3548719882965088,1.3713240126807185,1.3548719882965088,1.3548719882965088,585600
2000-01-04,1.3226125240325928,1.344871084887957,1.3226125240325928,1.341967814405367,782400
2000-01-05,1.3226125240325928,1.3226125240325928,1.3064833461218757,1.3064833461218757,1876800
2000-01-06,1.3226125240325928,1.3548716182004636,1.3226125240325928,1.3226125240325928,792000
2000-01-07,1.3710010051727295,1.37777533476288,1.3387422752589995,1.3387422752589995,5347200
2000-01-10,1.483906865119934,1.483906865119934,1.451648140608592,1.451648140608592,2980800
2000-01-11,1.4871330261230469,1.493584975883052,1.4742295880696823,1.4839072819763672,326400
2000-01-12,1.5016496181488037,1.5161661603956587,1.4871331681952866,1.4903592818234874,5068800
2000-01-13,1.551651120185852,1.551651120185852,1.551651120185852,1.551651120185852,120000
2000-01-14,1.5806838274002075,1.5806838274002075,1.5551994245799945,1.5551994245799945,3484800
2000-01-17,1.6129424571990967,1.6129424571990967,1.5806837261905666,1.5806837261905666,230400
2000-01-18,1.5645544528961182,1.5968135587851233,1.5581029639743342,1.5968135587851233,3724800
2000-01-19,1.5581027269363403,1.568102893187774,1.5484250335592653,1.5645542148766434,1872000
2000-01-20,1.5484248399734497,1.5484248399734497,1.5484248399734497,1.5484248399734497,748800
2000-01-21,1.516165852546692,1.5484249518252355,1.516165852546692,1.5484249518252355,144000
2000-01-24,1.5484248399734497,1.5645540192743397,1.5161657430251694,1.5161657430251694,705600
2000-01-25,1.5484248399734497,1.5484248399734497,1.5484248399734497,1.5484248399734497,0
2000-01-26,1.5355209112167358,1.5355209112167358,1.5355209112167358,1.5355209112167358,196800
2000-01-27,1.5484248399734497,1.5645540192743397,1.5484248399734497,1.5645540192743397,686400
2000-01-28,1.5484248399734497,1.5484248399734497,1.5484248399734497,1.5484248399734497,211200
2000-01-31,1.5484248399734497,1.5484248399734497,1.5484248399734497,1.5484248399734497,0
2000-02-01,1.516165852546692,1.516165852546692,1.516165852546692,1.516165852546692,148800
2000-02-02,1.4516481161117554,1.5290693674297093,1.4516481161117554,1.5290693674297093,739200
2000-02-03,1.4516481161117554,1.4839068400787254,1.435518569541667,1.435518569541667,4382400
2000-02-04,1.5064880847930908,1.5064880847930908,1.4516483201748716,1.4516483201748716,345600
2000-02-07,1.5806838274002075,1.5806838274002075,1.5161659920788464,1.5161659920788464,81600
